1. SendGrid (Denver, CO)

2. Asana (San Francisco, CA)

3. Shipt (Birmingham, AL)

4. Periscope Data (San Francisco, CA)

5. Workpop (Santa Monica, CA)

6. Envoy (San Francisco, CA)

7. Degreed (San Francisco, CA)

8. Eargo (Mountain View, CA)

9. AristaMD (La Jolla, CA)

10. Next Caller (New York, NY)

11. StackCommerce (Venice, CA)

12. Redbooth (Palo Alto, CA)

13. HotelTonight (San Francisco, CA)

14. zlien (New Orleans, LA)

15. Brighterion (San Francisco, CA)

16. Lullabot (Providence, RI)

17. TripActions (Palo Alto, CA)

18. BambooHR (Lindon, UT)

19. AdTheorent (New York, NY)

20. MomentFeed (Santa Monica, CA)

21. Peerfit (Tampa, FL)

22. ClearGov (Maynard, MA)

23. Cybereason (Boston, MA)

24. Entelo (San Francisco, CA)

25. ROBLOX (San Mateo, CA)
