1. Highspot (Seattle, WA)

2. Drift (Boston, MA)

3. SendGrid (Denver, CO)

4. TripActions (Palo Alto, CA)

5. Phenom People (Ambler, PA)

6. Pipedrive (New York, NY)

7. People.ai (San Francisco, CA)

8. CultureIQ (New York, NY)

9. Sitetracker (Palo Alto, CA)

10. Greenhouse Software, Inc. (New York, NY)

11. Gainsight (Redwood City, CA)

12. Wibbitz (New York, NY)

13. Disruptive Advertising, Inc. (Lindon, UT)

14. Periscope Data (San Francisco, CA)

15. Mobilewalla (New York, NY)

16. Eargo (San Jose, CA)

17. PeerStreet (El Segundo, CA)

18. Barry’s Bootcamp (Los Angeles, CA)

19. Branch Metrics (Redwood City, CA)

20. Life360 (San Francisco, CA)

21. Impact (Santa Barbara, CA)

22. Pendo (Raleigh, NC)

23. KRT Marketing (Lafayette, CA)

24. Intersys Consulting (Austin, TX)

25. Bumble (Austin, TX)

26. Celtra, Inc. (Boston, MA)

27. Sonder (San Francisco, CA)

28. Revenue River Marketing (Golden, CO)

29. NUXEO (Brooklyn, NY)

30. HomeLight (San Francisco, CA)

31. OJO Labs (Austin, TX)

32. Acorns (Irvine, CA)

33. SmartProcure / GovSpend (Deerfield Beach, FL)

34. Cybereason (Boston, MA)

35. Help Scout (Boston, MA)

36. Divvy (Lehi, UT)

37. Overtime (New York, NY)

38. Axtria (Berkeley Heights, NJ)

39. Billtrust (Lawrenceville, NJ)

40. Clorder (El Segundo, CA)

41. Avionos (Chicago, IL)

42. Red Dot Storage (Louisville, CO)

43. The ExecRanks (Novato, CA)

44. Aptris (Rockford, IL)

45. Nylas (San Francisco, CA)

46. AdTheorent (New York, NY)

47. AgileCraft (Austin, TX)

48. SmartBug Media (Newport Beach, CA)

49. Buildium (Boston, MA)

50. Karat (Seattle, WA)
