1. BranchMetrics (Redwood City, CA)

2. SendGrid (Denver, CO)

3. TripActions (Palo Alto, CA)

4. Periscope Data (San Francisco, CA)

5. Shipt (Birmingham, AL)

6. Day Translations (New York, NY)

7. Phenom People (Ambler, PA)

8. Drift (Boston, MA)

9. Juniper Systems (Logan, UT)

10. Sitetracker (Palo Alto, CA)

11. Swift Navigation (San Francisco, CA)

12. PeerStreet (Manhattan Beach, CA)

13. Pipedrive (New York, NY)

14. Acorns (Irvine, CA)

15. Tally Technologies (San Francisco, CA)

16. Cybereason (Boston, MA)

17. Divvy (Lehi, UT)

18. Peerfit (Tampa, FL)

19. Wibbitz (New York, NY)

20. RealSelf (Seattle, WA)

21. Roofstock (Oakland, CA)

22. SmartBug Media (Newport Beach, CA)

23. Barry’s Bootcamp (Los Angeles, CA)

24. Envoy (San Francisco, CA)

25. InvestCloud (West Hollywood, CA)
