1. Boostability (Lehi, UT)

2. Day Translations (New York, NY)

3. Pipedrive (New York, NY)

4. SmartProcure (Deerfield Beach, FL)

5. NetCentrics (Herndon, VA)

6. Brighterion (San Francisco, CA)

7. AristaMD (La Jolla, CA)

8. PandaDoc (San Francisco, CA)

9. zlien (New Orleans, LA)

10. Juniper Systems (Logan, UT)

11. Swift Navigation (San Francisco, CA)

12. SessionM (Boston, MA)

13. AODocs (San Francisco, CA)

14. Faithlife (Bellingham, WA)

15. LHP Engineering Solutions (Columbus, IN)

16. Lingotek (Lehi, UT)

17. The ExecRanks (Novato, CA)

18. Redbooth (Palo Alto, CA)

19. Lullabot (Providence, RI)

20. Rev.com (San Francisco, CA)

21. Numecent (Irvine, CA)

22. BambooHR (Lindon, UT)

23. Next Caller (New York, NY)

24. Citrusbyte (Encino, CA)

25. Lynker Technologies (Leesburg, VA)
